location	n_ocurrences	percent accumulate_percent
nottingham	2532	0.0690039153999	25.0512555742
brazil	2526	0.0688403990127	25.1200959732
minneapolis mn	2491	0.0678865534207	25.1879825266
pretoria	2486	0.0677502897647	25.2557328164
vancouver	2476	0.0674777624527	25.3232105789
cardiff	2469	0.0672869933343	25.3904975722
vancouver bc	2457	0.0669599605598	25.4574575328
new zealand	2456	0.0669327078286	25.5243902406
portland or	2454	0.0668782023662	25.5912684429
paris france	2431	0.0662513895486	25.6575198325
south carolina	2427	0.0661423786238	25.7236622111
jersey	2402	0.0654610603438	25.7891232715
pakistan	2397	0.0653247966878	25.8544480681
new york new york	2383	0.064943258451	25.9193913266
san antonio tx	2368	0.064534467483	25.9839257941
baltimore md	2364	0.0644254565582	26.0483512506
oklahoma	2342	0.0638258964718	26.1121771471
sweden	2326	0.0633898527726	26.1755669999
barcelona	2316	0.0631173254606	26.2386843253
louisville ky	2311	0.0629810618046	26.3016653872
cali	2306	0.0628447981486	26.3645101853
southern california	2303	0.062763039955	26.4272732253
delhi	2252	0.0613731506637	26.4886463759
colombia	2247	0.0612368870077	26.5498832629
columbus ohio	2246	0.0612096342765	26.6110928972
phoenix az	2228	0.0607190851149	26.6718119823
durban south africa	2215	0.0603647996093	26.7321767819
thailand	2195	0.0598197449853	26.7919965269
iowa	2190	0.0596834813293	26.8516800082
tampa fl	2182	0.0594654594797	26.9111454677
amsterdam	2177	0.0593291958237	26.9704746635
cairo egypt	2158	0.0588113939309	27.0292860575
raleigh nc	2157	0.0587841411997	27.0880701987
buffalo ny	2129	0.0580210647261	27.1460912634
ottawa	2126	0.0579393065325	27.2040305699
las vegas nv	2101	0.0572579882524	27.2612885582
st louis mo	2093	0.0570399664028	27.3183285246
wales	2089	0.056930955478	27.3752594801
egypt	2063	0.0562223844668	27.4314818645
puerto rico	2062	0.0561951317356	27.4876769963
italy	2030	0.0553230443372	27.5430000406
kansas	2014	0.054887000638	27.5978870412
london united kingdom	1995	0.0543691987452	27.65225624
hogwarts	1994	0.054341946014	27.706598186
jamaica	1985	0.0540966714332	27.7606948574
narnia	1984	0.054069418702	27.8147642761
chennai	1980	0.0539604077772	27.8687246839
louisiana	1975	0.0538241441212	27.922548828
chicago illinois	1971	0.0537151331964	27.9762639612
somewhere	1969	0.053660627734	28.029924589
leicester	1960	0.0534153531532	28.0833399421
indianapolis in	1949	0.0531155731099	28.1364555152
nc	1940	0.0528702985291	28.1893258138
atlanta georgia	1940	0.0528702985291	28.2421961123
new delhi india	1922	0.0523797493675	28.2945758617
brisbane australia	1897	0.0516984310875	28.3462742927
new orleans	1897	0.0516984310875	28.3979727238
abuja	1895	0.0516439256251	28.4496166495
birmingham uk	1875	0.0510988710011	28.5007155205
memphis tn	1869	0.0509353546139	28.5516508751
detroit	1852	0.0504720581835	28.6021229333
paradise	1850	0.0504175527211	28.652540486
dallas	1840	0.0501450254091	28.7026855114
tx	1835	0.0500087617531	28.7526942731
kuala lumpur	1834	0.0499815090219	28.8026757822
belfast	1834	0.0499815090219	28.8526572912
durban	1830	0.0498724980971	28.9025297893
belgium	1815	0.0494637071291	28.9519934964
d m v	1814	0.0494364543979	29.0014299508
oregon	1806	0.0492184325483	29.0506483834
arkansas	1798	0.0490004106987	29.0996487941
kuwait	1796	0.0489459052363	29.1485946993
tokyo	1781	0.0485371142682	29.1971318136
columbus oh	1764	0.0480738178378	29.2452056314
brighton	1763	0.0480465651066	29.2932521965
milwaukee wi	1757	0.0478830487194	29.3411352452
miami florida	1753	0.0477740377946	29.388909283
pretoria south africa	1736	0.0473107413642	29.4362200244
portland oregon	1735	0.047283488633	29.483503513
hong kong	1723	0.0469564558586	29.5304599689
kent	1720	0.046874697665	29.5773346665
st louis	1711	0.0466294230842	29.6239640896
dmv	1702	0.0463841485034	29.6703482381
cleveland ohio	1693	0.0461388739226	29.716487112
philly	1691	0.0460843684602	29.7625714805
detroit mi	1684	0.0458935993418	29.8084650798
mars	1681	0.0458118411482	29.854276921
tokyo japan	1679	0.0457573356858	29.9000342567
indianapolis	1669	0.0454848083738	29.9455190651
abuja nigeria	1662	0.0452940392554	29.9908131043
south florida	1661	0.0452667865242	30.0360798908
newcastle upon tyne	1651	0.0449942592122	30.08107415
chile	1649	0.0449397537498	30.1260139038
the netherlands	1648	0.0449125010186	30.1709264048
berlin	1642	0.0447489846314	30.2156753894
missouri	1637	0.0446127209754	30.2602881104
mnl	1626	0.0443129409322	30.3046010514
rochester ny	1621	0.0441766772762	30.3487777286
bandung	1618	0.0440949190826	30.3928726477
minneapolis	1617	0.0440676663514	30.4369403141
ct	1615	0.044013160889	30.480953475
america	1608	0.0438223917705	30.5247758667
manila	1605	0.0437406335769	30.5685165003
richmond va	1604	0.0437133808457	30.6122298811
va	1595	0.0434681062649	30.6556979874
denver colorado	1595	0.0434681062649	30.6991660937
pa	1590	0.0433318426089	30.7424979363
here	1575	0.0429230516409	30.7854209879
atl	1570	0.0427867879849	30.8282077759
baltimore	1568	0.0427322825225	30.8709400584
bangkok thailand	1562	0.0425687661353	30.9135088246
mexico city	1549	0.0422144806297	30.9557233052
hyderabad	1548	0.0421872278985	30.9979105331
kansas city	1546	0.0421327224361	31.0400432555
buenos aires argentina	1544	0.0420782169737	31.0821214725
glasgow scotland	1539	0.0419419533177	31.1240634258
brisbane	1537	0.0418874478553	31.1659508737
san antonio texas	1526	0.0415876678121	31.2075385415
washington	1515	0.0412878877689	31.2488264293
lima peru	1514	0.0412606350377	31.2900870643
pune	1499	0.0408518440697	31.3309389084
espana	1493	0.0406883276825	31.3716272361
lebanon	1482	0.0403885476393	31.4120157837
cincinnati oh	1481	0.0403612949081	31.4523770786
denver	1480	0.0403340421769	31.4927111208
utah	1480	0.0403340421769	31.533045163
southampton	1473	0.0401432730585	31.573188436
dc	1467	0.0399797566713	31.6131681927
cincinnati ohio	1466	0.0399525039401	31.6531206966
jacksonville fl	1464	0.0398979984777	31.6930186951
coventry	1450	0.0395164602409	31.7325351553
toronto ontario canada	1446	0.0394074493161	31.7719426047
somewhere over the rainbow	1441	0.03927118566	31.8112137903
northern ireland	1433	0.0390531638104	31.8502669541
bangalore india	1430	0.0389714056168	31.8892383597
kansas city mo	1423	0.0387806364984	31.9280189962
spain	1422	0.0387533837672	31.96677238
knoxville tn	1418	0.0386443728424	32.0054167529
world	1415	0.0385626146488	32.0439793675
norwich	1414	0.0385353619176	32.0825147294
portugal	1410	0.0384263509928	32.1209410804
us	1401	0.038181076412	32.1591221568
lexington ky	1400	0.0381538236808	32.1972759805
nashville	1392	0.0379358018312	32.2352117823
where the wild things are	1389	0.0378540436376	32.273065826
panama	1388	0.0378267909064	32.3108926169
finland	1382	0.0376632745192	32.3485558914
ca	1378	0.0375542635944	32.386110155
ghana	1374	0.0374452526696	32.4235554077
cincinnati	1374	0.0374452526696	32.4610006603
santiago chile	1370	0.0373362417448	32.4983369021
rhode island	1366	0.03722723082	32.5355641329
dubai uae	1363	0.0371454726264	32.5727096055
caracas venezuela	1359	0.0370364617016	32.6097460672
sacramento ca	1358	0.0370092089704	32.6467552762
karachi pakistan	1357	0.0369819562392	32.6837372324
