tj,38.53575,68.77905
tl,-8.55861,125.57361
tm,37.95,58.38333
tn,36.81897,10.16579
to,-21.13938,-175.2018
tr,39.91987,32.85427
tt,10.66668,-61.51889
tv,-8.52425,179.19417
tw,25.04776,121.53185
tz,-6.17221,35.73947
ua,50.45466,30.5238
ug,0.31628,32.58219
us,38.89511,-77.03637
uy,-34.90328,-56.18816
uz,41.26465,69.21627
va,41.90236,12.45332
vc,13.15872,-61.22475
ve,10.48801,-66.87919
vg,18.41667,-64.61667
vi,18.3419,-64.9307
vn,21.0245,105.84117
vu,-17.73381,168.32188
wf,-13.28163,-176.17453
ws,-13.83333,-171.76666
xk,42.67272,21.16688
ye,15.35472,44.20667
yt,-12.78234,45.22878
za,-25.74486,28.18783
zm,-15.40669,28.28713
zw,-17.82772,31.05337
PS,32.0,35.25
AN,12.25,-68.75
AQ,-90.0,0.0
BV,-54.4333,3.4
IL,31.5,34.75
IO,-6.0,71.5
HM,-53.1,72.5167
NR,-0.5333,166.9167
UM,19.2833,166.6
TK,-9.0,-172.0
